path	md5
archive/rmd/2014-05-09-modelling-seasonal-data-with-gam.Rmd	b532e4c1279b3301c9e2e0b51fb38d0f
archive/rmd/2014-05-15-identifying-periods-of-change-with-gams.Rmd	fc497b37548666fa9ce2b2b8aa92d061
archive/rmd/2014-06-16-simultaneous-confidence-intervals-for-derivatives.Rmd	d4a4e9cb2036fabfecba4558b40e0973
archive/rmd/2014-07-31-simulating-species-abundance-data-with-the-coenocliner-package.Rmd	822caab26d7aa91e628d08b708e156ef
archive/rmd/2014-11-03-randomized-complete-block-designs-and-vegan.Rmd	c7c345e1c837fdb9d45812f2ec293d85
archive/rmd/2015-01-14-harvesting-canadian-climate-data.Rmd	25e40983c913e451e2be6721f8caa106
archive/rmd/2015-04-16-drawing-rarefaction-curves-with-custom-colours.Rmd	dc3395a9b97a987d65ac88c136e57932
archive/rmd/2015-06-03-my-aversion-to-pipes.Rmd	2937d239c591a28c3d854ae2e1a5cdb4
archive/rmd/2015-10-08-user-friendly-scaling.Rmd	138177f7e56ede6074d7ea96504e2ce5
archive/rmd/2015-11-21-climate-change-and-spline-interactions.Rmd	c12d73a91d13b2bc98b7e53094a70169
archive/rmd/2015-11-23-are-some-seasons-warming-more-than-others.Rmd	f77bcfe77ae3d18a26ecfac71e8e58f3
archive/rmd/2016-03-25-additive-modeling-global-temperature-series-revisited.Rmd	997b022f1de6f97fe337f89a480401ce
archive/rmd/2016-03-27-soap-film-smoothers.Rmd	9164e99c21718dfdb6a657b797b2a3de
archive/rmd/2016-04-17-new-plot-default-for-betadisper.Rmd	1d2e58dd68b6cc423edeff17325cb34c
archive/rmd/2016-05-24-harvesting-more-canadian-climate-data.Rmd	27d4a97025209decc054528345ba510a
archive/rmd/2016-06-07-rootograms.Rmd	08c9c7ad8da83017845c10a65359de85
archive/rmd/2016-12-15-simultaneous-interval-revisited.Rmd	d63c42f3367e520120a57a58d379a1ee
archive/rmd/2016-12-16-pangaea-r-open-palaeo-data.Rmd	f72d1ed222f181204e1cd9d63807d937
archive/rmd/2017-01-25-modelling-extremes-with-gams.Rmd	6816cabc60ca7850d39f86ebed36c7d1
archive/rmd/2017-03-21-simultaneous-intervals-for-derivatives-of-smooths.Rmd	aeeb9b799be60b12cc549315819ebaf4
archive/rmd/2017-05-01-glm-prediction-intervals-i.Rmd	dcb3cf0ba04cbc717c6809343f71b68d
archive/rmd/2017-05-01-glm-prediction-intervals-ii.Rmd	e9ce538493635f778365869f77effe04
archive/rmd/2017-05-04-compare-mgcv-with-glmmTMB.Rmd	5cd9a1d38af1e7b55a00bfaee54c9ee6
archive/rmd/2017-10-10-difference-splines-i.Rmd	13b4dda1860023f57919a931bf168b09
archive/rmd/2017-10-19-first-steps-with-mrf-smooths.Rmd	cad7eb3ad76fec55b9c56c88cb15f2ee
archive/rmd/2017-12-14-difference-splines-ii.Rmd	4c091bf23071b99edecffb1dd37a62ec
archive/rmd/2018-04-21-fitting-gams-with-brms.Rmd	9463b5bbf6dffeba76c65949cb7d00da
archive/rmd/2018-10-23-introducing-gratia.Rmd	180b61943b20808326a1a83302274983
archive/rmd/2018-12-10-confidence-intervals-for-glms.Rmd	2a601e53bb46d1cccf4229146cd8a424
archive/rmd/2019-01-22-using-tibbles-and-example-checking.Rmd	bb7e8e81a281272427b20e2525089393
archive/rmd/2019-10-25-pivoting-tidily.Rmd	42d83463eb3da31a0656a72e6ce065c9
archive/rmd/2020-05-31-new-gratia-release.Rmd	b1ef48bcb9f587652e0daaeb2ad8b643
archive/rmd/2020-06-03-extrapolating-with-gams.Rmd	03b9de8d9810f87d338ab06f9a42de4f
archive/rmd/2021-01-30-two-new-versions-of-gratia-on-cran.Rmd	0ef683a7d61fec3b89991b873492171d
archive/rmd/2021-01-31-getting-data-from-canada-covid-19-tracker-using-r.Rmd	0fe23b0dac26061754105614becf5231
archive/rmd/2021-02-02-random-effects-in-gams.Rmd	1ec53ca3f33caca5cae54fe2365c8f26
archive/rmd/2024-03-28-gratia-0-9-0.Rmd	415fccfbb7b75f55f64f1ed1ab814901
